"Code","Prefecture","A1101","A110101","A110102","A1102","A110201","A110202","A1301","A130101","A130102","A1302","A130201","A130202","A1303","A130301","A130302","A4101","A410101","A410102","A4103","A4200","A420001","A420002","A5101","A510101","A510102","A5102","A510201","A510202","A9101","A9201","B4101","B4102","B4103","B4106","B4109","C3301","C3302","C3801","C3802","C3803","C3804","C5401","C5403","E1101","E1301","E1501","E2101","E2401","E2501","E3101","E3401","E3501","E3701","E3702","E4101","E4401","E4501","E4601","E4602","E6101","E6102","E6201","E6202","E6301","E6302","E6501","E650110","E6502","E650210","E7101","E7102","E7201","E7202","F3101","F3102","F3103","F3104","F3105","F3106","G5105","H1800","H1801","H1802","H1803","H2600","H2601","H2602","H2603","I510120","I5102","I5103","J2503","J2505","J250502","J2506","J2526","L3221","L322101","L322102","L322103","L322104","L322105","L322106","L322107","L322108","L322109","L322110"
"地域コード","都道府県","総人口","総人口（男）","総人口（女）","日本人人口","日本人人口（男）","日本人人口（女）","15歳未満人口","15歳未満人口（男）","15歳未満人口（女）","15～64歳人口","15～64歳人口（男）","15～64歳人口（女）","65歳以上人口","65歳以上人口（男）","65歳以上人口（女）","出生数","出生数（男）","出生数（女）","合計特殊出生率","死亡数","死亡数（男）","死亡数（女）","転入者数（日本人移動者）","転入者数（日本人移動者）（男）","転入者数（日本人移動者）（女）","転出者数（日本人移動者）","転出者数（日本人移動者）（男）","転出者数（日本人移動者）（女）","婚姻件数","離婚件数","年平均気温","最高気温（日最高気温の月平均の最高値）","最低気温（日最低気温の月平均の最低値）","降水日数（年間）","降水量（年間）","着工建築物数","着工建築物床面積","旅館営業施設数","旅館営業施設客室数","ホテル営業施設数","ホテル営業施設客室数","標準価格（平均価格）（住宅地）","標準価格（平均価格）（商業地）","幼稚園数","幼稚園教員数","幼稚園在園者数","小学校数","小学校教員数","小学校児童数","中学校数","中学校教員数","中学校生徒数","中学校卒業者数","中学校卒業者のうち進学者数","高等学校数","高等学校教員数","高等学校生徒数","高等学校卒業者数","高等学校卒業者のうち進学者数","短期大学数","大学数","短期大学教員数","大学教員数","短期大学学生数","大学学生数","短期大学卒業者数","短期大学卒業者のうち進学者数","大学卒業者数","大学卒業者のうち進学者数","専修学校数","各種学校数","専修学校生徒数","各種学校生徒数","新規求職申込件数（一般）","月間有効求職者数（一般）","月間有効求人数（一般）","充足数（一般）","就職件数（一般）","県内就職件数（一般）","一般旅券発行件数","着工新設住宅戸数","着工新設持家数","着工新設貸家数","着工新設分譲住宅数","着工新設住宅床面積","着工新設持家床面積","着工新設分譲住宅床面積","着工新設貸家床面積","一般病院数","一般診療所数","歯科診療所数","保育所等数","保育所等定員数","保育所等利用待機児童数","保育所等在所児数","保育所等保育士数","消費支出（二人以上の世帯）","食料費（二人以上の世帯）","住居費（二人以上の世帯）","光熱・水道費（二人以上の世帯）","家具・家事用品費（二人以上の世帯）","被服及び履物費（二人以上の世帯）","保健医療費（二人以上の世帯）","交通・通信費（二人以上の世帯）","教育費（二人以上の世帯）","教養娯楽費（二人以上の世帯）","その他の消費支出（二人以上の世帯）"
"R35000","山口県","1459000","688000","771000","1447000","682000","764000","183000","94000","89000","872000","430000","442000","400000","161000","238000","11312","5785","5527","1.43","16995","8700","8295","24863","14482","10381","27584","15734","11850","7008","2697","15.8","32","0.5","109","2016.5","5358","1032400","987","20378","85","6522","31100","61700","203","1283","16945","350","5262","78320","180","3291","40055","13695","13228","90","3102","36933","11876","5155","5","10","116","1424","1085","16860","487","20","3663","723","40","49","4827","2664","61582","273972","117381","17828","18456","16970","32066","6756","3142","2949","443","598815","388266","47774","151304","119","1279","687","303","25210","23","25056","3229","321706","65838","23587","21975","11249","12546","12215","52941","11176","31514","78667"
"R36000","徳島県","790000","375000","415000","786000","374000","412000","99000","51000","48000","481000","238000","243000","210000","86000","124000","5898","3030","2868","1.35","8719","4520","4199","10477","5968","4509","12515","6917","5598","3691","1518","16.9","31.3","3","99","1600.5","3357","663187","661","10333","34","2570","41700","79900","224","821","8297","269","3299","42041","96","1924","22010","7446","7321","42","1821","21355","6955","3681","3","4","116","1560","825","11516","418","41","2500","590","23","14","2279","235","33991","155621","68143","11106","11507","10729","16216","3842","2100","1488","195","377515","271557","20012","81897","104","783","434","212","15495","30","14354","2574","294834","62982","18289","19430","10319","11295","13763","39767","11999","30870","76119"
"R37000","香川県","999000","481000","518000","992000","478000","514000","135000","69000","66000","610000","304000","306000","254000","106000","148000","8366","4267","4099","1.48","10639","5477","5162","19122","10991","8131","19956","11389","8567","5140","1963","16.9","31.7","2.6","81","986.5","4600","929101","482","13632","133","8047","41800","100700","177","1147","15289","198","3624","57458","86","2111","28173","9764","9343","43","2166","26027","8419","4359","3","4","99","858","945","9191","471","32","2085","308","28","39","4756","958","51551","208112","106015","15146","14606","13752","22758","5680","2891","2040","689","537646","376631","59403","95333","85","823","462","202","20174","0","20095","2865","308221","63514","15363","20294","11294","12842","14878","37795","11099","36413","84730"
"R38000","愛媛県","1438000","676000","762000","1430000","673000","757000","184000","94000","90000","876000","429000","447000","376000","153000","224000","11507","5825","5682","1.41","15670","8141","7529","19913","11533","8380","22550","12626","9924","6946","2817","16.9","32","2.9","97","1302.5","5922","1255442","569","16256","168","9748","44100","115400","187","1402","18654","352","5498","79234","144","3138","39902","13764","13316","71","3008","38034","12185","6350","5","5","130","1179","1591","15755","648","69","3359","472","46","17","4909","229","65378","273532","123423","19483","19855","18733","26587","6603","3630","2104","722","650069","451810","74407","114014","129","1238","695","320","25802","45","24114","3587","249976","60554","14792","19980","10816","11067","10659","28955","9626","26687","56838"
"R39000","高知県","769000","361000","408000","766000","359000","407000","93000","48000","45000","456000","224000","232000","218000","87000","131000","5415","2806","2609","1.29","9437","4820","4617","10341","5936","4405","12519","6794","5725","3306","1596","17.5","32.1","2.5","117","2062.5","2529","445260","538","12372","90","6269","43200","107400","64","426","4402","277","3415","39829","139","2298","21410","7257","7047","49","2135","21408","6863","3009","2","3","64","849","968","7690","287","37","1683","334","26","12","3485","783","43135","183756","55788","10865","11324","10660","11886","2573","1495","816","255","247950","177951","26352","42812","125","578","358","264","21895","43","19946","2960","316705","65845","25243","21495","8151","10776","11412","56980","14168","29354","73282"
"R40000","福岡県","5064000","2391000","2672000","5024000","2373000","2652000","702000","360000","342000","3241000","1582000","1659000","1111000","449000","662000","46084","23374","22710","1.37","44879","23320","21559","104136","58520","45616","103667","58899","44768","29419","11121","17.3","31.6","3.5","101","1692","16976","4119600","1142","50103","362","37950","48200","226300","500","4740","64160","775","15599","283523","379","9522","144361","49143","47388","168","8552","133684","42611","22716","21","34","558","8211","8482","108055","4021","355","22905","3024","178","49","41746","5626","269189","1174161","399642","62719","62220","57019","168637","28500","9204","13136","5869","2428436","1168507","562211","679200","407","4476","2994","842","89647","644","95046","12799","298906","65680","21650","20936","11384","13505","14261","36838","13004","30253","71395"
"R41000","佐賀県","853000","401000","451000","849000","400000","449000","121000","62000","59000","524000","257000","267000","207000","82000","125000","7518","3818","3700","1.49","8831","4448","4383","16948","9352","7596","18857","10333","8524","4139","1489","16.9","33.1","1.6","92","1704.5","3763","686998","411","10202","57","4494","23700","50400","108","753","9190","189","3349","52382","103","2217","27833","9540","9245","44","2172","27168","8779","3797","3","2","93","789","1018","7622","516","40","1602","340","29","3","3252","18","47494","199633","65989","13790","13703","12005","19949","4513","2089","2208","151","410052","280183","16958","107602","96","695","425","208","19245","0","20108","2774","311653","65061","20045","22892","9110","13322","14084","37273","11461","28643","89761"
"R42000","長崎県","1434000","669000","765000","1427000","666000","761000","189000","96000","93000","873000","425000","448000","368000","146000","222000","11838","6146","5692","1.5","15491","7910","7581","25929","15218","10711","31815","17736","14079","6854","2564","17.4","32.1","3.5","105","1801","4300","917842","786","21939","60","6124","27800","99600","189","1281","14148","401","5717","82840","211","3681","45092","15653","15289","83","3544","45135","14606","6257","4","10","74","1750","983","17056","502","65","3770","480","43","10","4720","169","72857","304364","98547","19743","20506","19025","28573","5755","2425","2649","558","512880","300939","55185","139950","136","1431","737","415","29710","94","31475","4547","264605","65242","12328","22007","9792","11396","10372","31854","7992","24959","68661"
"R43000","熊本県","1821000","855000","966000","1813000","852000","961000","251000","129000","122000","1099000","537000","562000","463000","186000","277000","16221","8360","7861","1.58","18505","9431","9074","30520","17362","13158","34781","19668","15113","9100","3450","17.5","33.8","2","99","1565.5","7297","1521796","1406","28856","121","8223","28700","139400","149","1156","16240","436","7115","103976","193","4204","55339","18995","18572","85","4018","52818","16841","7285","2","10","50","1693","868","26214","413","14","5809","848","54","8","8924","1145","83377","407462","125316","24384","24821","22930","40250","9426","4095","4110","1140","876918","517785","138723","214745","180","1454","832","570","43415","93","47834","6427","289466","66059","16717","21992","10114","14216","12607","36197","14644","31427","65492"
"R44000","大分県","1200000","567000","634000","1192000","563000","629000","158000","81000","77000","721000","353000","368000","316000","129000","187000","9961","5035","4926","1.5","12528","6520","6008","21193","12160","9033","23473","13144","10329","6136","2378","17","31.6","3","87","1294.5","4918","952009","1348","26164","151","10370","29600","62000","229","1028","12519","342","4587","65240","143","2746","34336","11890","11620","64","2808","34029","10982","5143","5","5","164","994","2157","15283","1025","233","3188","325","43","24","4933","1926","62521","271335","106043","19437","19841","18423","25091","5415","2530","2621","236","478828","323987","23769","129354","139","969","549","272","19661","3","21387","3070","283895","64696","17182","19749","9814","11987","11664","40709","9746","27291","71056"
