"地域コード","都道府県","市区町村","総人口","総人口（男）","総人口（女）","日本人人口","日本人人口（男）","日本人人口（女）","15歳未満人口","15歳未満人口（男）","15歳未満人口（女）","15～64歳人口","15～64歳人口（男）","15～64歳人口（女）","65歳以上人口","65歳以上人口（男）","65歳以上人口（女）","75歳以上人口","75歳以上人口（男）","75歳以上人口（女）","外国人人口","出生数","死亡数","転入者数（日本人移動者）","転出者数（日本人移動者）","世帯数","一般世帯数","一般世帯人員数","核家族世帯数","単独世帯数","65歳以上の世帯員のいる核家族世帯数","高齢夫婦のみの世帯数","高齢単身世帯数（65歳以上の者１人）","婚姻件数","離婚件数","総面積（北方地域及び竹島を除く）","可住地面積","事業所数","事業所数（農業，林業）","事業所数（建設業）","事業所数（製造業）","事業所数（電気・ガス・熱供給・水道業）","事業所数（情報通信業）","事業所数（運輸業，郵便業）","事業所数（卸売業，小売業）","事業所数（金融業，保険業）","事業所数（不動産業，物品賃貸業）","事業所数（学術研究，専門・技術サービス業）","事業所数（宿泊業，飲食サービス業）","事業所数（生活関連サービス業，娯楽業）","事業所数（教育，学習支援業）","事業所数（医療，福祉）","事業所数（複合サービス事業）","事業所数（サービス業（他に分類されないもの））","事業所数（公務（他に分類されるものを除く））","第１次産業事業所数","第２次産業事業所数","第３次産業事業所数","従業者数","従業者数（農業，林業）","従業者数（建設業）","従業者数（製造業）","従業者数（電気・ガス・熱供給・水道業）","従業者数（情報通信業）","従業者数（運輸業，郵便業）","従業者数（卸売業，小売業）","従業者数（金融業，保険業）","従業者数（不動産業，物品賃貸業）","従業者数（学術研究，専門・技術サービス業）","従業者数（宿泊業，飲食サービス業）","従業者数（生活関連サービス業，娯楽業）","従業者数（教育，学習支援業）","従業者数（医療，福祉）","従業者数（複合サービス事業）","従業者数（サービス業（他に分類されないもの））","従業者数（公務（他に分類されるものを除く））","第１次産業従業者数","第２次産業従業者数","第３次産業従業者数","農家数（販売農家）","農家数（自給的農家）","経常収支比率（市町村財政）","実質公債費比率（市町村財政）","歳入決算総額（市町村財政）","地方税（市町村財政）","歳出決算総額（市町村財政）","民生費（市町村財政）","土木費（市町村財政）","教育費（市町村財政）","災害復旧費（市町村財政）","幼稚園数","幼稚園在園者数","小学校数","小学校教員数","小学校児童数","中学校数","中学校教員数","中学校生徒数","高等学校数","高等学校生徒数","就業者数","就業者数（男）","就業者数（女）","完全失業者数","完全失業者数（男）","完全失業者数（女）","非労働力人口","非労働力人口（男）","非労働力人口（女）","第１次産業就業者数","第２次産業就業者数","第３次産業就業者数","公民館数","図書館数","総人口（非水洗化人口＋水洗化人口）","非水洗化人口","小売店数","飲食店数","大型小売店数","一般病院数","一般診療所数","歯科診療所数","医師数","歯科医師数","薬剤師数","保育所等数","保育所等在所児数"
"","山形県","中山町","11363","","5869","11317","5481","5836","1293","659","634","欠損値","3230","","3570","1605","","1941","766","1175","46","unknown","171","268","300","unknown","3422","11221","1868","unknown","945","412","239","28","11","3115","2113","420","6","60","","2","1","14","106","8","6","9","28","49","10","24","4","36","unknown","6","欠損値","304","","71","255","516","21","欠損値","193","562","33","unknown","13","179","欠損値","95","402","37","112","92","71","771","1919","337","299","95.8","9.6","5409990","1026689","5135523","1279887","1023705","679798","0","欠損値","136","2","36","512","1","23","290","欠損値","0","5830","3253","2577","273","unknown","欠損値","3930","1388","2542","651","欠損値","3371","2","欠損値","欠損値","450","74","20","0","0","6","2","5","3","0","1","207"
"R06321","山形県","河北町","18952","9152","9800","18834","9130","9704","2234","1159","1075","10350","5209","5141","6359","2780","","3569","1385","2184","unknown","103","unknown","337","504","unknown","5854","18434","欠損値","985","1462","677","unknown","59","25","5245","3823","995","5","167","unknown","1","4","14","249","9","unknown","26","71","111","35","unknown","9","70","6","6","294","695","7437","unknown","unknown","2369","12","12","201","1202","83","68","60","269","欠損値","148","1225","80","238","180","66","3313","4058","欠損値","434","93.6","12","10008959","1983922","9778525","2148432","788013","865671","0","2","130","6","79","889","1","34","498","1","339","9807","5438","4369","334","214","120","6470","2284","4186","1141","unknown","5139","3","欠損値","","243","209","59","1","1","欠損値","10","52","12","37","2","329"
"R06322","山形県","西川町","5636","2688","2948","5598","2682","2916","550","274","unknown","2829","1427","1402","欠損値","987","1270","1404","545","859","38","欠損値","113","","134","","1783","unknown","unknown","302","554","","204","11","3","39319","7327","313","unknown","41","欠損値","2","0","","66","4","0","10","51","25","10","欠損値","6","23","欠損値","7","75","231","1999","90","欠損値","406","58","","78","279","18","0","19","232","47","88","238","unknown","78","137","90","602","1307","267","245","90.8","9.3","5723624","776683","5496188","920146","1004850","790016","22821","0","","1","17","209","1","16","欠損値","0","0","2756","1586","unknown","107","71","36","2223","757","1466","283","914","1557","14","1","5583","545","56","","","unknown","4","unknown","unknown","2","6","1","113"
"R06323","山形県","朝日町","7119","3504","3615","7063","3497","3566","unknown","366","","3618","1902","1716","2806","1236","1570","1686","649","1037","欠損値","34","143","102","204","2242","2229","6880","1048","388","674","294","258","18","5","19681","5563","361","unknown","","36","2","1","5","85","欠損値","2","6","29","44","7","21","","33","8","4","104","253","2249","17","307","463","","2","27","360","18","26","9","120","77","79","361","46","欠損値","139","","770","1462","476","403","93.7","3.5","5622607","581672","5212473","1183376","583939","unknown","13584","0","0","3","32","276","欠損値","17","150","0","0","3750","2182","1568","124","82","欠損値","2549","874","1675","959","1101","1678","4","1","7117","1279","76","24","0","1","6","2","5","2","9","","154"
"R06324","","欠損値","8472","4173","4299","8419","4152","4267","912","473","439","4520","unknown","2160","3040","1340","1700","1790","682","unknown","53","33","149","151","unknown","2632","2620","8158","1293","461","737","351","284","","3","15408","3293","397","unknown","48","51","2","0","5","106","4","4","6","44","unknown","11","22","7","23","7","5","100","292","2946","欠損値","271","1072","4","0","unknown","335","29","欠損値","9","139","119","183","408","41","82","unknown","40","1359","1547","326","","81.3","3.9","5589908","807398","","1612121","632499","450151","unknown","1","63","3","33","344","2","24","欠損値","1","277","4369","欠損値","1893","155","","50","3035","1119","1916","","1485","2237","unknown","0","8322","1467","94","32","0","0","unknown","3","5","5","2","3","183"
"R06341","山形県","unknown","7357","3610","3747","7295","3605","3690","814","422","欠損値","3985","2063","1922","2557","1125","1432","1448","533","915","62","26","123","116","152","unknown","2137","7154","947","306","567","219","186","19","9","7954","3783","","2","欠損値","38","","0","7","80","unknown","4","8","33","欠損値","8","","5","29","6","2","118","","2188","33","404","452","0","0","82","285","31","7","45","163","84","95","290","35","81","101","33","856","1299","511","219","91.6","10.1","6133461","642125","unknown","1198073","665964","408443","42840","unknown","0","","33","287","unknown","19","欠損値","0","0","","","1713","111","86","欠損値","2552","939","1613","563","1402","1897","31","0","7314","164","76","28","unknown","0","6","4","4","6","9","3","欠損値"
"R06361","山形県","金山町","欠損値","2820","3009","5782","","2964","704","368","336","3249","1667","欠損値","1876","785","1091","欠損値","389","693","47","欠損値","欠損値","","148","","1642","","","233","361","欠損値","135","8","12","16167","3539","279","","60","19","2","1","unknown","77","3","0","4","27","27","10","9","3","15","6","7","80","192","1782","86","unknown","","23","2","61","","16","0","5","107","49","96","117","36","41","132","86","754","942","434","85","88.1","8.5","4650000","unknown","4339765","808867","561878","651521","2628","0","0","3","28","254","1","20","152","1","74","unknown","1720","1268","114","85","29","2023","647","1376","533","1052","1400","1","0","欠損値","1192","69","22","0","0","3","2","3","","unknown","unknown","unknown"
"R06362","山形県","最上町","8902","4299","4603","欠損値","4296","4540","988","511","477","unknown","2481","2350","3083","1307","1776","1852","678","1174","","41","138","100","180","","2653","8616","1149","","664","312","244","25","欠損値","unknown","6406","472","8","98","39","0","1","7","106","4","0","10","48","48","24","29","5","30","11","9","140","","3272","74","705","624","","","34","477","34","0","49","245","89","146","438","欠損値","171","133","75","1349","unknown","808","138","90.7","欠損値","6714805","805333","欠損値","欠損値","824600","欠損値","15","","14","5","49","378","1","欠損値","235","欠損値","64","4597","2627","欠損値","","79","37","","1082","2119","813","1626","2150","44","0","8670","2602","81","26","","1","3","unknown","5","3","7","2","101"
"R06363","山形県","舟形町","5631","欠損値","2903","unknown","2727","2879","596","unknown","","2985","1538","欠損値","2050","","1191","1261","439","822","25","18","","88","115","1621","1615","5323","684","243","unknown","204","155","14","6","11904","unknown","unknown","2","52","16","1","0","4","42","1","4","8","16","23","5","12","","unknown","9","3","68","150","1739","93","265","311","5","0","27","165","3","unknown","20","欠損値","71","68","330","101","70","118","109","576","unknown","441","130","84.9","unknown","5830634","485294","5598797","839807","610992","385122","142018","0","0","1","15","234","欠損値","18","137","0","0","2727","1575","","94","unknown","34","2211","762","","520","823","1374","","0","5530","426","35","欠損値","0","0","3","1","","1","3","欠損値","136"
"R06364","山形県","真室川町","unknown","3821","4316","8102","3813","4289","842","412","430","4301","unknown","2134","2993","1241","1752","1769","646","1123","35","37","158","131","234","2478","2469","7811","1087","431","欠損値","283","259","20","","37422","5105","396","14","58","41","1","0","9","98","3","欠損値","3","33","50","13","19","8","27","13","15","99","282","2717","221","271","欠損値","4","欠損値","50","465","18","12","32","135","97","82","413","unknown","110","127","欠損値","874","1608","504","146","","5.6","5805676","659120","unknown","1184702","1014411","557478","6007","0","0","3","unknown","302","","欠損値","187","1","69","4029","2268","1761","unknown","119","46","3100","1021","2079","765","1270","1986","59","","8040","3025","87","23","0","1","6","unknown","7","3","10","2","unknown"
"R06365","山形県","大蔵村","3412","1663","1749","欠損値","1663","1730","415","228","欠損値","1825","931","894","1172","504","668","684","255","429","19","18","64","71","欠損値","1016","1007","3325","unknown","153","","116","87","6","7","21163","3685","211","4","36","16","2","unknown","3","52","1","1","unknown","unknown","23","3","9","欠損値","13","5","4","52","155","1063","36","172","86","6","0","6","170","4","3","8","160","63","47","118","unknown","21","67","36","258","769","","103","89.1","8.2","unknown","欠損値","4571451","566671","788295","348019","130882","0","0","","14","","1","13","86","0","0","1862","1044","818","41","25","unknown","欠損値","欠損値","728","403","538","921","1","0","欠損値","463","欠損値","8","0","欠損値","3","0","2","1","3","unknown","120"
"R06366","山形県","","4317","2085","2232","4291","2084","2207","442","230","212","2336","1200","unknown","1539","655","","888","328","560","","22","72","78","118","1224","1222","4214","欠損値","170","302","104","110","欠損値","6","12214","4167","欠損値","19","28","unknown","1","0","2","37","0","0","4","14","21","3","10","6","14","5","19","50","","1409","欠損値","336","241","2","0","3","unknown","0","0","13","55","47","15","166","","80","83","203","577","","413","94","88.6","10.7","4170276","354401","3906115","707121","426960","372883","0","0","0","1","","欠損値","1","13","100","0","0","2305","1307","998","欠損値","44","12","1488","494","994","612","643","980","1","0","4350","欠損値","33","8","0","0","2","欠損値","2","1","0","2","129"
"R06367","","戸沢村","4773","2279","2494","unknown","2278","2444","unknown","225","","欠損値","1348","1288","1682","706","976","1000","欠損値","638","51","21","unknown","70","98","1390","1387","4591","欠損値","209","","144","unknown","16","5","26131","4524","246","4","50","28","1","1","6","47","2","1","2","16","28","4","22","6","22","6","unknown","","164","1244","17","欠損値","297","9","1","59","unknown","2","4","2","82","","21","206","35","58","94","17","466","761","欠損値","76","85.9","欠損値","4440168","361547","4191047","1206220","490243","430470","欠損値","0","0","1","15","176","1","14","95","0","","2343","1328","1015","105","71","34","1867","欠損値","1212","欠損値","837","1106","1","0","4736","1003","42","13","0","0","3","unknown","1","0","","2","82"
"R06381","unknown","高畠町","23882","11548","12334","23747","11509","12238","3101","1566","1535","13579","6887","6692","7187","3085","4102","3993","1445","2548","124","欠損値","342","434","557","7218","7203","23480","欠損値","1149","1694","641","521","88","40","unknown","","欠損値","9","163","127","欠損値","3","22","欠損値","11","48","27","110","欠損値","41","69","9","84","","9","291","819","9141","86","679","3299","unknown","6","274","1469","97","119","182","425","248","441","977","85","469","263","86","3986","5069","1128","365","90.3","9.7","10525217","2362754","10029491","unknown","1124431","1020333","10830","1","unknown","6","93","1259","1","45","649","1","323","12775","7017","5758","431","288","143","7460","2614","4846","1871","4622","6232","6","1","unknown","2069","220","91","欠損値","","13","9","22","15","22","5","594"
"R06382","unknown","川西町","15751","7646","8105","15690","7643","8047","1749","872","877","8663","4543","unknown","5339","2231","欠損値","3116","1102","","unknown","74","欠損値","244","387","unknown","4542","15087","1936","723","1184","458","398","46","19","16660","8626","709","12","102","80","欠損値","1","10","179","7","5","9","58","92","21","43","12","","11","12","182","515","7361","108","493","1479","8","2","98","801","66","9","16","235","226","321","2861","208","","222","108","1972","5281","1078","266","93","11.9","10699849","1342523","10496365","2058498","924369","1357572","929","3","216","6","75","693","1","unknown","360","1","289","8159","","3508","294","201","欠損値","5538","unknown","3618","1387","2714","4024","1","2","15605","3055","147","","0","2","6","4","110","11","41","3","160"
"R06401","","小国町","7868","3863","4005","7840","3853","3987","866","449","417","4106","2169","1937","2896","1245","1651","1697","649","1048","unknown","36","136","162","257","2845","2832","7602","unknown","696","819","423","unknown","欠損値","7","73756","7914","458","10","56","28","6","0","9","100","7","20","9","60","60","12","24","","32","12","11","85","362","3860","107","443","1276","15","0","73","528","30","42","44","221","105","unknown","420","60","","173","108","1734","2018","263","177","89.8","欠損値","6596872","981959","6241555","1324081","1072819","427643","10","0","0","2","25","349","","21","191","2","149","3744","2146","1598","欠損値","77","26","unknown","1188","欠損値","314","1559","1862","2","0","7797","881","85","38","0","1","3","1","6","3","13","3","244"
"R06402","山形県","欠損値","14175","unknown","7249","欠損値","欠損値","7191","欠損値","883","768","7620","3865","3755","4882","欠損値","2718","2800","1065","1735","65","65","243","","297","4405","4391","13888","2100","728","1225","欠損値","447","43","21","unknown","5718","704","8","101","118","2","3","11","153","5","10","20","55","77","24","43","7","57","10","8","219","477","unknown","118","512","1854","3","12","","701","34","35","87","245","","223","","64","285","欠損値","118","2366","unknown","593","686","89.4","7.5","9665006","1220745","8809289","2160283","欠損値","1410684","16239","unknown","0","4","56","660","1","27","334","","156","7084","3980","3104","228","142","86","5185","1903","3282","734","2752","3596","1","","14109","2009","欠損値","44","1","1","8","欠損値","11","4","","4","445"
"R06403","山形県","飯豊町","7304","3527","3777","7264","3520","3744","840","428","412","3929","unknown","unknown","2535","1059","1476","欠損値","537","1005","40","46","130","123","185","2198","2190","7102","969","欠損値","550","228","unknown","unknown","11","32941","5450","336","14","51","34","1","0","unknown","70","2","2","unknown","34","39","欠損値","26","6","22","8","15","85","236","2877","133","343","805","9","欠損値","59","377","3","7","14","199","123","122","434","unknown","68","125","136","1148","1593","601","126","85.6","6.8","欠損値","674157","6427126","1295757","unknown","657314","39586","1","12","4","41","339","1","16","172","欠損値","0","3831","2161","1670","98","","29","2534","868","1666","659","欠損値","1844","66","0","","欠損値","63","欠損値","0","0","5","欠損値","3","1","","2","125"
"R06426","山形県","三川町","7728","3715","4013","7700","3705","3995","1008","530","","4124","2107","2017","2555","欠損値","1497","1531","548","983","18","69","124","210","231","2223","2213","7272","1052","350","481","183","161","31","9","unknown","","480","14","74","37","1","unknown","14","131","7","9","13","unknown","49","","23","4","45","12","14","111","355","5030","83","334","","12","9","142","","31","37","89","266","232","124","624","15","144","730","83","1154","3793","437","74","85.4","11.3","unknown","999774","4399043","1062965","431328","545716","0","1","105","3","40","396","1","欠損値","206","欠損値","unknown","3941","2147","欠損値","128","欠損値","32","2600","915","1685","623","","2179","2","欠損値","7478","247","103","29","3","1","3","欠損値","8","3","19","2","229"
"R06428","山形県","庄内町","","10255","11411","21590","10244","11346","2518","1269","1249","11742","5946","5796","7404","3039","4365","欠損値","1523","2664","76","125","","","unknown","","6621","21194","3078","unknown","1699","672","588","64","20","24917","11022","990","15","","123","2","1","欠損値","219","10","14","21","","124","39","70","17","71","","16","270","704","7068","128","845","1412","33","","220","1076","96","26","90","332","283","388","1195","unknown","409","265","129","","4603","993","123","96.9","10.2","13246585","","12598512","2967459","1455685","1854675","24348","5","284","5","73","unknown","2","38","527","1","295","欠損値","6077","5075","380","260","","7536","欠損値","4926","1434","3300","6306","欠損値","2","21742","1128","182","70","1","欠損値","11","","25","","","4","388"
"欠損値","山形県","遊佐町","14207","欠損値","7517","14177","6686","7491","1400","","708","unknown","3867","3651","5289","2131","3158","2975","","1954","30","75","256","232","欠損値","4509","4494","13710","2107","782","1327","518","521","欠損値","8","20839","9735","unknown","13","欠損値","64","1","0","","167","4","17","5","59","unknown","欠損値","45","11","48","10","16","164","","4300","112","452","","3","0","169","852","38","26","欠損値","258","157","216","801","","","182","135","1185","2980","457","480","83.9","7.9","8800189","1340490","8299621","1939976","811989","715310","欠損値","0","0","5","59","543","1","24","311","1","unknown","7197","3924","3273","unknown","欠損値","77","5323","1873","3450","1154","1947","4058","0","1","14206","1594","146","37","1","1","8","5","8","","6","4","unknown"
"R07201","福島県","福島市","294247","144690","149557","290903","143268","147635","34412","17753","16659","175079","89195","85884","unknown","35010","unknown","40357","15855","24502","1380","unknown","3295","8350","unknown","欠損値","121565","286210","64167","42374","26575","13454","13238","1215","419","76772","27517","13420","","1172","743","24","","222","3377","270","1102","621","1713","1213","504","1021","79","1063","129","46","欠損値","11459","148723","411","9438","18217","921","2245","5503","26069","4474","3066","4254","12747","unknown","8051","20555","1102","16457","9564","413","27655","欠損値","3913","2047","欠損値","1.6","139931295","","134424777","65521899","10893649","10486137","8114950","42","3033","unknown","901","13451","23","576","7424","15","9695","140435","","","5639","unknown","1940","101278","36280","64998","5644","32308","96449","22","4","281820","15094","2469","1339","46","15","256","142","1139","200","691","unknown","3955"
"R07202","福島県","欠損値","124062","59200","64862","unknown","unknown","64301","15681","8014","7667","72042","35992","36050","","14360","20554","unknown","6551","11915","551","833","1550","3237","3827","49431","49322","121159","unknown","16273","10374","5130","","462","unknown","38297","14602","","31","","","","55","unknown","1827","126","423","247","979","687","263","422","41","441","57","32","1189","5687","63330","365","4197","9142","1046","441","2365","","1485","1403","1248","6330","2714","","9288","687","5081","","367","13357","49606","2126","716","unknown","7.3","unknown","15363689","欠損値","19955467","","","unknown","6","","20","392","6178","13","276","3473","9","unknown","57236","31234","26002","3536","2383","","42154","unknown","27519","欠損値","14133","38549","10","1","120746","12250","","790","21","7","90","","343","91","309","20","2350"
"R07203","福島県","欠損値","335444","167096","unknown","332735","165841","166894","41865","21467","20398","204785","104575","unknown","81853","36340","45513","39883","15568","unknown","欠損値","2511","3408","","10968","138310","138082","329009","70267","欠損値","25498","12183","13877","1566","658","75720","欠損値","16633","60","1819","942","unknown","152","359","4305","370","1348","795","1845","1480","664","","64","1162","93","62","2762","13809","172583","699","14614","20351","欠損値","unknown","9525","36812","4652","","unknown","15005","7414","8400","19597","1632","16359","4523","713","34969","136901","4372","欠損値","90.6","5.6","141926828","47630482","137710465","40367333","17198244","14550825","16094078","unknown","5020","unknown","1034","16439","28","663","8944","14","10414","156056","88333","67723","7830","4979","2851","101868","35996","65872","4550","36734","102817","103","18","","12196","欠損値","1441","欠損値","19","235","168","836","433","829","42","unknown"
"","福島県","いわき市","","172829","177408","346941","171313","175628","42404","欠損値","欠損値","204962","106107","98855","98323","42064","56259","欠損値","18511","31145","1517","2134","4301","6670","","141069","140328","341975","76050","44276","32135","unknown","unknown","1370","571","123202","35141","14918","69","1684","1139","27","101","322","3765","欠損値","unknown","559","1876","欠損値","632","1193","110","996","欠損値","84","2831","12003","148290","1020","15344","26295","957","1137","7567","unknown","2921","欠損値","3786","12807","6788","欠損値","19457","874","11203","3525","unknown","41749","105218","4058","2190","84.7","unknown","164302459","50583827","unknown","48606442","unknown","12531841","2091131","48","3939","68","1150","16538","欠損値","773","9141","20","8578","160151","93821","66330","7679","5019","欠損値","119915","40992","78923","4044","48912","99301","36","6","342871","16646","2867","1431","32","21","254","164","583","207","unknown","55","欠損値"
"R07205","福島県","白河市","61913","30662","unknown","61324","unknown","30889","8071","4160","3911","37135","19191","17944","unknown","6979","9172","8327","3102","unknown","unknown","435","669","1749","2104","23004","unknown","61228","11763","6709","4580","2187","2187","269","99","unknown","13258","欠損値","24","274","319","5","15","58","741","61","139","119","","310","151","228","28","194","45","24","598","2546","29526","339","1868","7707","114","70","1001","4887","欠損値","413","645","欠損値","欠損値","1345","3208","486","2052","1003","339","9598","19589","2024","528","92.4","10.5","30290502","8739160","29019134","8475334","3799718","3141732","786873","10","900","15","248","欠損値","8","162","1781","4","2104","30526","17478","13048","1231","欠損値","424","19627","6873","12754","1950","11120","16450","10","4","62383","4671","566","360","7","2","51","35","135","欠損値","127","unknown","904"
"","福島県","","77441","38032","39409","77102","37892","39210","10476","5358","5118","欠損値","","22982","19590","8411","11179","","3603","6292","246","570","938","1965","2080","26345","26299","76101","14326","6046","5425","欠損値","2255","314","116","27943","16025","3349","19","389","318","8","17","101","815","unknown","unknown","欠損値","353","323","欠損値","299","26","242","25","19","710","2620","32610","187","2505","7533","205","136","1845","5705","514","416","unknown","","1479","1513","欠損値","欠損値","2517","576","187","10052","22371","2813","528","91.9","6.3","40838789","9507912","37989457","10659612","3525347","5073078","503367","unknown","343","欠損値","270","4126","10","193","unknown","4","2318","38610","21656","16954","1507","985","522","23933","8377","欠損値","3472","11813","unknown","9","3","欠損値","7912","620","291","9","6","53","35","121","47","欠損値","19","1435"
"R07208","福島県","喜多方市","49377","23301","26076","欠損値","23236","25897","5619","2843","2776","25951","unknown","unknown","16674","6666","10008","9959","unknown","unknown","","300","803","982","1239","16752","16706","47514","7927","4026","4114","1791","2077","165","61","55463","17756","2667","unknown","294","251","5","7","47","698","27","unknown","71","unknown","268","122","196","26","170","31","31","551","2085","19100","243","1587","4736","71","","571","","276","201","431","1527","660","","2783","348","unknown","736","243","6339","12518","2826","917","93.7","8.7","27788325","4829420","","欠損値","3132781","2580511","23339","4","217","17","","2209","7","unknown","1230","4","1299","","13057","10709","879","","254","17817","6099","11718","3081","7230","13253","16","1","48998","14232","欠損値","242","6","5","28","20","59","33","欠損値","unknown","unknown"
"R07209","福島県","相馬市","38556","19603","18953","38221","19455","18766","4893","2513","2380","22428","12039","10389","10736","4696","6040","5566","2094","3472","177","unknown","464","1167","unknown","","unknown","38070","6967","5338","3032","1481","1602","164","71","19779","9110","欠損値","13","200","148","5","5","31","463","36","78","60","255","172","82","115","25","113","25","unknown","350","1465","16622","156","","4612","88","unknown","397","2773","294","251","279","1442","616","538","1730","","868","473","175","6352","10095","895","303","欠損値","11.3","21232231","5080507","20160175","unknown","4337821","","320083","9","753","9","146","1878","4","88","966","欠損値","995","18709","11185","7524","","615","unknown","12213","unknown","8077","1238","6589","10138","欠損値","1","35592","","","210","6","2","24","18","52","25","58","欠損値","312"
"R07210","福島県","二本松市","58162","unknown","29446","57855","28638","29217","6570","欠損値","3183","欠損値","","16321","17526","7608","9918","unknown","3511","6000","286","339","776","1373","1514","19810","19496","57007","9844","4485","unknown","2005","1837","199","72","34442","19077","2653","unknown","359","300","4","unknown","57","欠損値","26","153","57","255","224","105","167","23","欠損値","44","27","欠損値","1964","24024","","2696","6885","51","12","1247","4200","","298","281","1531","欠損値","1134","2227","299","958","unknown","205","9591","14228","2658","欠損値","92.2","10.9","42828498","6248227","41341189","19417826","unknown","3122868","欠損値","13","421","欠損値","225","2504","7","126","1431","3","1135","29531","unknown","12630","1471","1056","415","unknown","7026","13042","欠損値","10573","15848","欠損値","2","55677","1632","521","190","6","3","41","22","77","27","71","unknown","809"
"R07211","福島県","unknown","38503","19189","19314","","19105","19085","4279","2175","2104","22033","11640","10393","unknown","5148","6759","6900","2571","4329","225","213","581","682","932","12734","12708","37861","欠損値","","2925","1213","1134","119","","45833","15507","1789","unknown","314","190","8","0","unknown","484","欠損値","33","34","113","169","61","145","22","123","31","8","506","1275","14628","159","1985","4302","22","欠損値","473","2547","118","109","131","683","553","660","","277","481","507","159","6306","8163","2436","1284","91.2","7.5","28555170","3631004","26395714","unknown","2331521","2608132","48120","9","207","13","156","1684","6","102","938","1","355","20022","11574","8448","926","652","274","12794","4441","unknown","2616","7659","9603","17","5","37806","6264","411","87","5","1","22","15","25","17","33","6","403"
"R07212","福島県","南相馬市","57797","31175","26622","57337","30977","26360","4885","2496","2389","33379","19596","13783","18452","8217","10235","9438","3574","5864","211","319","865","1843","2188","25944","21451","52527","10500","unknown","5611","欠損値","2392","235","欠損値","39858","18088","2720","17","324","263","10","unknown","46","644","51","unknown","107","262","250","99","206","21","196","unknown","","unknown","2111","24199","","3174","4346","欠損値","47","848","3855","485","456","unknown","1436","780","1006","3027","427","2057","欠損値","142","","16518","1641","582","93.8","9.1","","8875443","欠損値","","5262160","4446517","","unknown","600","15","202","2090","6","124","1254","","1256","28949","19100","9849","1638","1185","unknown","20645","7155","13490","1232","11976","15264","0","unknown","61670","4186","514","206","4","5","37","22","95","34","91","8","699"
"R07213","福島県","欠損値","62400","30541","31859","62107","欠損値","31652","6712","3390","欠損値","35350","18143","17207","","8944","欠損値","unknown","4196","6558","281","298","891","1330","1504","21624","21596","61285","11852","4641","6163","2721","2115","160","unknown","26512","13287","2722","19","392","unknown","1","6","69","unknown","24","188","54","205","254","107","166","42","181","24","19","702","2001","","欠損値","2143","5431","30","13","unknown","","216","325","195","","1055","1114","3209","unknown","1124","628","unknown","7574","14338","2634","1929","93.2","7.4","33731909","5608173","31795182","9374534","2572213","4521292","923827","7","236","16","欠損値","2584","unknown","129","欠損値","3","1548","31746","17983","13763","1463","","450","21083","7395","13688","4022","9715","17185","欠損値","1","unknown","9949","550","170","7","2","42","24","81","33","欠損値","11","916"
"R07214","福島県","本宮市","30924","15224","15700","30794","欠損値","15613","","2184","1976","unknown","9533","9121","8104","3504","4600","4350","1619","2731","130","unknown","351","1002","904","10049","10030","30321","5462","2044","2162","890","735","119","58","8802","6095","1490","6","欠損値","169","1","6","92","357","14","110","40","120","110","50","92","7","欠損値","14","6","391","1093","16942","61","unknown","5590","unknown","18","2611","2635","156","245","167","606","389","483","","162","639","308","61","7027","9854","1059","465","86.8","8.3","24676142","4164263","23859236","","1334580","1453703","0","欠損値","326","7","122","1694","unknown","unknown","935","1","442","15355","8618","6737","1039","unknown","327","9968","3463","欠損値","920","5180","8952","13","1","30636","2394","欠損値","95","","1","14","13","29","16","53","6",""
"","福島県","桑折町","12271","5829","6442","12238","5819","unknown","1353","678","675","6640","3298","3342","4269","1846","2423","欠損値","","1418","32","61","185","319","346","欠損値","4262","","unknown","unknown","1273","unknown","461","33","16","4297","2473","549","欠損値","69","60","1","1","11","unknown","7","41","15","","37","欠損値","39","8","58","8","3","129","","5530","18","417","2300","11","2","","729","67","81","48","196","欠損値","190","576","欠損値","404","122","18","2717","2795","欠損値","259","89.6","11.6","5650098","1295822","5396370","1341509","unknown","894275","195666","","232","4","51","540","欠損値","","297","0","unknown","6089","3390","2699","295","212","83","4482","unknown","2965","809","1757","3506","4","欠損値","欠損値","782","97","18","1","0","8","7","4","","欠損値","1","102"
"R07303","福島県","国見町","9512","4594","4918","9452","4584","4868","","欠損値","481","5117","2617","unknown","3425","欠損値","1930","1744","659","1085","58","29","135","141","210","3291","3289","9407","欠損値","688","unknown","474","363","18","13","","","370","4","63","35","4","2","10","","2","8","8","22","33","8","欠損値","8","33","7","欠損値","98","欠損値","3343","","271","723","51","3","164","638","19","14","22","196","55","81","unknown","欠損値","欠損値","257","23","994","2326","649","260","87.3","6.8","欠損値","958653","unknown","unknown","","568322","728212","1","139","1","21","354","1","21","228","0","0","4784","2708","2076","254","181","73","","1201","2260","796","1302","2660","1","欠損値","9376","467","94","unknown","1","unknown","4","3","37","4","24","1","73"
