"地域コード","都道府県","市区町村","総人口","総人口（男）","総人口（女）","日本人人口","日本人人口（男）","日本人人口（女）","15歳未満人口","15歳未満人口（男）","15歳未満人口（女）","15～64歳人口","15～64歳人口（男）","15～64歳人口（女）","65歳以上人口","65歳以上人口（男）","65歳以上人口（女）","75歳以上人口","75歳以上人口（男）","75歳以上人口（女）","外国人人口","出生数","死亡数","転入者数（日本人移動者）","転出者数（日本人移動者）","世帯数","一般世帯数","一般世帯人員数","核家族世帯数","単独世帯数","65歳以上の世帯員のいる核家族世帯数","高齢夫婦のみの世帯数","高齢単身世帯数（65歳以上の者１人）","婚姻件数","離婚件数","総面積（北方地域及び竹島を除く）","可住地面積","事業所数","事業所数（農業，林業）","事業所数（建設業）","事業所数（製造業）","事業所数（電気・ガス・熱供給・水道業）","事業所数（情報通信業）","事業所数（運輸業，郵便業）","事業所数（卸売業，小売業）","事業所数（金融業，保険業）","事業所数（不動産業，物品賃貸業）","事業所数（学術研究，専門・技術サービス業）","事業所数（宿泊業，飲食サービス業）","事業所数（生活関連サービス業，娯楽業）","事業所数（教育，学習支援業）","事業所数（医療，福祉）","事業所数（複合サービス事業）","事業所数（サービス業（他に分類されないもの））","事業所数（公務（他に分類されるものを除く））","第１次産業事業所数","第２次産業事業所数","第３次産業事業所数","従業者数","従業者数（農業，林業）","従業者数（建設業）","従業者数（製造業）","従業者数（電気・ガス・熱供給・水道業）","従業者数（情報通信業）","従業者数（運輸業，郵便業）","従業者数（卸売業，小売業）","従業者数（金融業，保険業）","従業者数（不動産業，物品賃貸業）","従業者数（学術研究，専門・技術サービス業）","従業者数（宿泊業，飲食サービス業）","従業者数（生活関連サービス業，娯楽業）","従業者数（教育，学習支援業）","従業者数（医療，福祉）","従業者数（複合サービス事業）","従業者数（サービス業（他に分類されないもの））","従業者数（公務（他に分類されるものを除く））","第１次産業従業者数","第２次産業従業者数","第３次産業従業者数","農家数（販売農家）","農家数（自給的農家）","経常収支比率（市町村財政）","実質公債費比率（市町村財政）","歳入決算総額（市町村財政）","地方税（市町村財政）","歳出決算総額（市町村財政）","民生費（市町村財政）","土木費（市町村財政）","教育費（市町村財政）","災害復旧費（市町村財政）","幼稚園数","幼稚園在園者数","小学校数","小学校教員数","小学校児童数","中学校数","中学校教員数","中学校生徒数","高等学校数","高等学校生徒数","就業者数","就業者数（男）","就業者数（女）","完全失業者数","完全失業者数（男）","完全失業者数（女）","非労働力人口","非労働力人口（男）","非労働力人口（女）","第１次産業就業者数","第２次産業就業者数","第３次産業就業者数","公民館数","図書館数","総人口（非水洗化人口＋水洗化人口）","非水洗化人口","小売店数","飲食店数","大型小売店数","一般病院数","一般診療所数","歯科診療所数","医師数","歯科医師数","薬剤師数","保育所等数","保育所等在所児数"
"R33606","岡山県","鏡野町","12847","6092","6755","12784","6074","6710","1562","816","746","6576","3297","3279","4699","1972","2727","2647","","1694","61","101","259","326","353","4669","","12484","2528","1140","1325","732","719","33","21","41968","4967","580","21","77","49","2","欠損値","16","","3","8","12","欠損値","50","36","62","欠損値","50","18","23","126","431","欠損値","221","433","1204","15","2","616","1335","20","欠損値","149","","207","261","1151","90","345","195","欠損値","1637","4588","1226","544","欠損値","8.3","","2118853","13230919","2372017","1133649","1715106","","","23","8","83","640","1","27","308","0","0","欠損値","3468","2821","222","175","47","4729","1612","3117","1044","1549","3665","13","1","13266","","","24","2","2","11","7","18","5","13","6",""
"R33622","岡山県","勝央町","11125","5340","5785","欠損値","5332","5765","1535","819","716","6274","3079","3195","3297","1429","1868","1845","695","1150","26","98","147","365","403","unknown","","10765","2363","欠損値","998","549","448","52","29","5405","","470","5","unknown","72","3","4","18","欠損値","5","9","10","51","","欠損値","欠損値","unknown","26","5","5","132","333","6337","118","317","3061","17","欠損値","327","701","46","83","54","unknown","112","233","766","25","unknown","95","118","3395","2824","754","277","86.6","unknown","5969426","1924492","5375366","1674665","727769","549851","21898","","unknown","2","44","650","1","26","302","","328","unknown","unknown","2494","245","unknown","92","3689","","2450","653","1787","3009","1","","11152","713","","38","0","1","6","4","13","8","33","5","418"
"R33623","岡山県","unknown","5906","2920","2986","5895","2916","2979","","366","371","3203","1725","欠損値","1957","unknown","1134","unknown","383","686","10","54","101","unknown","499","1978","","","1132","419","555","unknown","280","36","unknown","6952","1981","264","18","30","35","2","0","5","64","1","0","6","26","欠損値","","20","4","19","5","18","65","181","欠損値","192","unknown","840","3","0","27","299","18","0","18","欠損値","29","75","252","36","71","776","192","1068","欠損値","468","欠損値","76.4","4.8","5126121","600926","欠損値","907621","506886","441882","5767","2","106","1","","288","1","16","144","0","0","3209","1884","1325","","欠損値","26","1852","unknown","1257","557","674","1934","1","欠損値","","0","58","17","0","0","4","2","6","3","3","1","93"
"R33643","","西粟倉村","1472","692","780","1458","687","771","191","90","101","","392","384","505","210","295","314","116","198","14","","23","unknown","66","","560","1471","279","163","155","83","","","1","unknown","300","76","2","23","12","欠損値","0","2","13","0","0","欠損値","欠損値","5","4","4","","unknown","3","2","35","39","495","44","62","113","unknown","0","2","79","0","0","0","21","30","欠損値","51","3","8","42","44","175","276","114","77","91.3","7.7","3316580","139312","3150883","312884","138084","","0","1","39","","","80","","10","35","0","0","740","397","343","22","","unknown","519","190","329","107","246","387","0","0","1491","欠損値","","2","0","0","1","1","0","1","0","0","0"
"R33663","岡山県","久米南町","4907","2330","2577","4882","2329","2553","483","233","250","2344","1182","1162","2076","912","1164","1189","463","726","25","20","102","137","118","1893","","欠損値","1118","504","660","401","375","12","unknown","7865","2480","222","unknown","30","18","欠損値","1","2","59","0","unknown","5","17","15","9","unknown","4","18","unknown","","48","unknown","1729","47","","416","8","10","2","unknown","0","5","18","66","25","266","293","欠損値","65","86","unknown","518","1164","544","199","90.5","13.9","4007668","532982","","798355","392637","445003","27159","0","0","3","33","177","1","欠損値","113","","","2410","1320","1090","75","53","22","1934","","1214","653","524","1229","5","1","4944","1337","","10","0","0","5","2","2","2","4","3","102"
"R33666","岡山県","美咲町","14432","6861","7571","14344","6842","7502","1615","829","786","7217","3713","3504","5592","unknown","","3188","1124","2064","87","82","247","294","360","5258","5243","13891","unknown","1307","1588","867","870","45","17","23217","6108","欠損値","7","95","74","4","2","7","122","4","4","12","欠損値","56","17","52","21","53","14","7","169","402","5083","166","472","1278","10","48","134","518","","10","108","153","144","213","欠損値","108","534","241","","1750","unknown","","613","83.8","10.5","11142300","1425715","10435070","2754316","995223","967711","unknown","unknown","0","5","unknown","","3","46","359","0","0","","3902","3142","248","189","59","5500","1927","3573","1183","1922","3821","3","3","14733","4625","108","25","0","","12","5","10","10","5","4","416"
"R33681","岡山県","欠損値","unknown","5778","unknown","11775","unknown","6037","1140","607","533","欠損値","3223","2919","4668","1948","2720","2793","1014","1779","175","45","236","329","410","4374","4332","欠損値","2301","1269","1330","772","734","24","15","unknown","5705","589","23","73","unknown","1","4","12","150","欠損値","欠損値","10","43","51","37","48","14","39","15","23","134","432","5191","117","341","1573","11","欠損値","欠損値","600","欠損値","15","57","267","130","443","1171","78","107","167","117","欠損値","3160","1280","503","85.1","10.8","9705823","1255401","欠損値","2280415","432726","726660","83593","3","38","10","118","468","","欠損値","271","1","303","欠損値","unknown","2788","151","112","39","4454","1654","2800","unknown","1706","2978","9","2","11908","3984","112","22","0","2","14","4","20","6","12","6","278"
"R34100","広島県","広島市","1194034","576850","617184","1172808","unknown","605950","166427","85031","欠損値","","360878","","","120571","158740","124858","47816","","unknown","","10560","58187","57885","531605","530948","1171398","300982","201431","104631","59196","57117","6099","2026","unknown","unknown","55733","84","4826","2811","75","unknown","1314","14418","1016","4878","unknown","7489","4476","2232","4471","unknown","3428","198","unknown","欠損値","47997","618100","","40333","60543","4955","16265","35604","134657","17756","欠損値","21210","55589","23480","unknown","","5379","unknown","18693","871","欠損値","欠損値","1673","unknown","98.2","13.8","611537824","209762026","607656143","202370104","91041252","102747708","492805","91","12317","148","3697","67886","79","2078","33664","45","32526","566566","315101","251465","unknown","14433","8865","368720","unknown","unknown","5259","123553","417528","70","15","1195150","19958","8655","6498","189","74","1180","707","3708","1289","3254","205","25721"
"R34202","広島県","呉市","228552","110173","118379","","108622","116862","unknown","13195","12710","124928","64121","60807","76204","32004","44200","37754","13985","23769","2370","1328","3284","5779","6994","97412","97184","","58027","32286","欠損値","16034","16670","829","324","35281","","unknown","18","894","984","14","39","371","2760","欠損値","371","339","1227","960","437","924","102","621","84","","1881","8417","106887","unknown","5360","","463","516","5240","17265","1895","1122","2141","7168","3705","4444","17473","794","5845","8332","508","29976","76403","1177","1793","98.1","11","98198247","30698601","96768221","36263636","8594756","8537241","49639","26","2242","38","680","10435","29","","5159","11","4774","104257","59892","欠損値","4203","2779","1424","欠損値","31669","欠損値","2940","29443","69401","0","7","228636","17458","2107","1004","28","unknown","228","","758","unknown","欠損値","unknown","3840"
"R34203","広島県","欠損値","26426","12563","13863","26291","欠損値","13790","","1357","1319","13591","6910","6681","10065","4215","5850","5190","1902","3288","105","111","429","605","860","11204","11180","25424","","3501","3517","2087","1985","64","30","11823","3556","unknown","10","162","115","5","unknown","43","398","unknown","","37","","欠損値","72","","12","102","24","12","277","1172","11747","122","1033","2096","189","13","478","2316","205","152","unknown","912","434","","2083","125","513","320","165","3129","8453","250","517","99.8","8.7","12397521","3872426","12250535","4664110","1211071","1299304","","4","48","8","101","921","3","","","2","453","","6558","","490","345","145","10786","3940","6846","686","3499","","13","1","26385","6436","312","129","4","","24","14","53","18","57","11","unknown"
